rm,tax,lstat,medv
1,6.575,296,4.98,24
2,6.421,242,9.14,21.6
3,7.185,242,4.03,34.7
4,6.998,222,2.94,33.4
5,7.147,222,5.33,36.2
6,6.43,222,5.21,28.7
7,6.012,311,12.43,22.9
8,6.172,311,19.15,27.1
9,5.631,311,29.93,16.5
10,6.004,311,17.1,18.9
11,6.377,311,20.45,15
12,NA,311,13.27,18.9
13,5.889,311,15.71,21.7
14,5.949,307,8.26,20.4
15,6.096,307,10.26,18.2
16,NA,307,8.47,19.9
17,5.935,307,6.58,23.1
18,5.99,307,14.67,17.5
19,5.456,307,11.69,20.2
20,5.727,307,11.28,18.2
21,5.57,307,21.02,13.6
22,5.965,307,13.83,19.6
23,6.142,307,18.72,15.2
24,5.813,307,NA,14.5
25,5.924,307,16.3,15.6
26,5.599,307,16.51,13.9
27,5.813,307,14.81,16.6
28,6.047,307,17.28,14.8
29,6.495,307,12.8,18.4
30,6.674,307,11.98,21
31,5.713,307,22.6,12.7
32,6.072,307,13.04,14.5
33,5.95,307,27.71,13.2
34,5.701,307,18.35,13.1
35,6.096,307,20.34,13.5
36,NA,279,9.68,18.9
37,5.841,279,11.41,20
38,5.85,279,8.77,21
39,5.966,279,10.13,24.7
40,6.595,252,4.32,30.8
41,7.024,252,1.98,34.9
42,6.77,233,4.84,26.6
43,6.169,233,5.81,25.3
44,6.211,233,7.44,24.7
45,6.069,233,9.55,21.2
46,5.682,233,10.21,19.3
47,5.786,233,14.15,20
48,6.03,233,18.8,16.6
49,5.399,233,30.81,14.4
50,5.602,233,16.2,19.4
51,5.963,243,13.45,19.7
52,6.115,243,9.43,20.5
53,6.511,243,5.28,25
54,5.998,243,8.43,23.4
55,5.888,469,14.8,18.9
56,7.249,226,4.81,35.4
57,6.383,313,5.77,24.7
58,6.816,256,3.95,31.6
59,6.145,284,6.86,23.3
60,5.927,284,9.22,19.6
61,5.741,284,13.15,18.7
62,5.966,284,14.44,16
63,6.456,284,6.73,22.2
64,6.762,284,9.5,25
65,7.104,216,8.05,33
66,6.29,337,4.67,23.5
67,5.787,337,10.24,19.4
68,5.878,345,8.1,22
69,5.594,345,NA,17.4
70,5.885,345,8.79,20.9
71,NA,305,6.72,24.2
72,5.961,305,9.88,21.7
73,NA,305,NA,22.8
74,NA,305,NA,23.4
75,6.273,398,6.78,24.1
76,6.286,398,8.94,21.4
77,6.279,398,11.97,20
78,6.14,398,10.27,20.8
79,6.232,398,12.34,21.2
80,5.874,398,NA,20.3
81,6.727,281,5.29,28
82,6.619,281,7.22,23.9
83,6.302,281,6.72,24.8
84,6.167,281,7.51,22.9
85,6.389,247,9.62,23.9
86,6.63,247,6.53,26.6
87,6.015,247,12.86,22.5
88,6.121,247,NA,22.2
89,NA,270,5.5,23.6
90,7.079,270,5.7,28.7
91,6.417,270,NA,22.6
92,6.405,270,8.2,22
93,6.442,270,8.16,22.9
94,6.211,270,6.21,25
95,6.249,270,10.59,20.6
96,6.625,276,6.65,28.4
97,6.163,276,11.34,21.4
98,8.069,276,4.21,38.7
99,7.82,276,3.57,43.8
100,NA,276,6.19,33.2
101,6.727,384,9.42,27.5
102,6.781,384,7.67,26.5
103,6.405,384,10.63,18.6
104,6.137,384,NA,19.3
105,6.167,384,12.33,20.1
106,5.851,384,NA,19.5
107,5.836,384,18.66,19.5
108,6.127,384,14.09,20.4
109,NA,384,12.27,19.8
110,NA,384,15.55,19.4
111,6.195,384,13,21.7
112,6.715,432,10.16,22.8
113,5.913,432,16.21,18.8
114,6.092,432,NA,18.7
115,6.254,432,NA,18.5
116,5.928,432,15.76,18.3
117,6.176,432,12.04,21.2
118,6.021,432,10.3,19.2
119,5.872,432,NA,20.4
120,5.731,432,13.61,19.3
121,5.87,188,14.37,22
122,6.004,188,14.27,20.3
123,5.961,188,17.93,20.5
124,5.856,188,25.41,17.3
125,NA,188,17.58,18.8
126,5.986,188,14.81,21.4
127,5.613,188,27.26,15.7
128,5.693,437,17.19,16.2
129,6.431,437,15.39,18
130,5.637,437,18.34,14.3
131,6.458,437,12.6,19.2
132,6.326,437,12.26,19.6
133,6.372,437,11.12,23
134,5.822,437,15.03,18.4
135,5.757,437,17.31,15.6
136,6.335,437,NA,18.1
137,5.942,437,16.9,17.4
138,6.454,437,14.59,17.1
139,5.857,437,21.32,13.3
140,6.151,437,18.46,17.8
141,6.174,437,NA,14
142,5.019,437,34.41,14.4
143,5.403,403,26.82,13.4
144,5.468,403,26.42,15.6
145,4.903,403,29.29,11.8
